Gemeente;Straat;Datum;Tijd_cleaned;Tijd;Nr.;Hecto;Kruispunt met;Info;Best.1;Leeft.1;Gesl.1;Best.2;Leeft.2;Gesl.2;Best.3;Leeft.3;Gesl.3;Best.4;Leeft.4;Gesl.4;Ongevalsfactoren;Type aanrijding;Gevolg;PV nr.;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Muisvenstraat;10/06/2005;;;128;;;;auto;21_30;vr;auto;60+;ml;;;;;;;onjuiste plaats op de rijbaan;frontaal;schade;TG.91.L7.200168/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Muisvenstraat;10/05/2005;;;;;;;auto;31_40;ml;auto;21_30;vr;;;;;;;onbekend;onbekend;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Muisvenstraat;18/02/2005;0600;06u00;;;;;auto;onb;vr;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Muisvenstraat;1/11/2005;1245;12u45;;;;parking kerkhof;auto;21_30;vr;auto;60+;vr;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Muisvenstraat;22/07/2005;;;148;;;;auto;21_30;vr;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;schade;TG.91.L7.200207/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Ophovenstraat;5/09/2005;0750;07u50;;;Heuvelstraat;;moto;41_50;ml;(brom)fiets;10_20;ml;;;;;;;geen voorrang;geen - gevallen;gewond;TG.81.L7.200246/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Ophovenstraat;9/10/2005;2345;23u45;8;;;;auto;10_20;vr;;;;;;;;;;onjuiste plaats op de rijbaan;tegen hindernis buiten rijbaan;schade;TG.91.L7.200293/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Ophovenstraat;25/06/2005;0900;09u00;6;;;;auto;onb;onb;;;;;;;;;;onbekend;tegen geparkeerd voertuig;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Ophovenstraat;7/06/2005;;;;;;;auto;onb;onb;;;;;;;;;;onbekend;tegen hindernis buiten rijbaan;schade;TG.91.L7.200177/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Ophovenstraat;22/10/2005;;;;;;;auto;21_30;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
